nu_cm-1,alpha_line1,alpha_line2,alpha_total,transmittance
7185.534,1.681125e-02,4.633396e-02,6.314521e-02,9.388071e-01
7185.535,1.729056e-02,4.775204e-02,6.504260e-02,9.370275e-01
7185.536,1.778733e-02,4.922792e-02,6.701525e-02,9.351809e-01
7185.537,1.830213e-02,5.076396e-02,6.906609e-02,9.332650e-01
7185.538,1.883554e-02,5.236257e-02,7.119811e-02,9.312774e-01
7185.539,1.938814e-02,5.402616e-02,7.341430e-02,9.292158e-01
7185.540,1.996049e-02,5.575718e-02,7.571767e-02,9.270779e-01
7185.541,2.055315e-02,5.755809e-02,7.811124e-02,9.248615e-01
7185.542,2.116664e-02,5.943132e-02,8.059796e-02,9.225645e-01
7185.543,2.180150e-02,6.137930e-02,8.318079e-02,9.201848e-01
7185.544,2.245819e-02,6.340439e-02,8.586258e-02,9.177203e-01
7185.545,2.313720e-02,6.550891e-02,8.864611e-02,9.151694e-01
7185.546,2.383892e-02,6.769510e-02,9.153401e-02,9.125303e-01
7185.547,2.456373e-02,6.996506e-02,9.452879e-02,9.098015e-01
7185.548,2.531196e-02,7.232078e-02,9.763274e-02,9.069819e-01
7185.549,2.608387e-02,7.476407e-02,1.008479e-01,9.040705e-01
7185.550,2.687964e-02,7.729657e-02,1.041762e-01,9.010665e-01
7185.551,2.769941e-02,7.991967e-02,1.076191e-01,8.979696e-01
7185.552,2.854320e-02,8.263449e-02,1.111777e-01,8.947797e-01
7185.553,2.941096e-02,8.544189e-02,1.148528e-01,8.914973e-01
7185.554,3.030253e-02,8.834236e-02,1.186449e-01,8.881231e-01
7185.555,3.121765e-02,9.133604e-02,1.225537e-01,8.846584e-01
7185.556,3.215594e-02,9.442264e-02,1.265786e-01,8.811049e-01
7185.557,3.311688e-02,9.760144e-02,1.307183e-01,8.774649e-01
7185.558,3.409984e-02,1.008712e-01,1.349711e-01,8.737412e-01
7185.559,3.510402e-02,1.042302e-01,1.393342e-01,8.699372e-01
7185.560,3.612850e-02,1.076762e-01,1.438047e-01,8.660569e-01
7185.561,3.717219e-02,1.112061e-01,1.483783e-01,8.621049e-01
7185.562,3.823382e-02,1.148165e-01,1.530503e-01,8.580865e-01
7185.563,3.931199e-02,1.185032e-01,1.578152e-01,8.540076e-01
7185.564,4.040510e-02,1.222612e-01,1.626663e-01,8.498747e-01
7185.565,4.151140e-02,1.260850e-01,1.675964e-01,8.456951e-01
7185.566,4.262894e-02,1.299682e-01,1.725971e-01,8.414765e-01
7185.567,4.375560e-02,1.339037e-01,1.776594e-01,8.372276e-01
7185.568,4.488911e-02,1.378838e-01,1.827729e-01,8.329573e-01
7185.569,4.602701e-02,1.418998e-01,1.879268e-01,8.286754e-01
7185.570,4.716667e-02,1.459424e-01,1.931091e-01,8.243920e-01
7185.571,4.830532e-02,1.500017e-01,1.983070e-01,8.201181e-01
7185.572,4.944002e-02,1.540668e-01,2.035068e-01,8.158647e-01
